Row Labels,Average of 5YA Service Calls,Average of 5YA Incident Responses,Average of 5YA Post Count,Sum of FY 2023 Basic Assessment,,Average of 5YA Service Calls,Average of 5YA Incident Responses,Average of 5YA Post Count,Sum of FY 2023 Basic Assessment
9198MD,1,0,0,33994.15,,,,,
9239NJ,6,3,0,35601.65,,,,,
9901DE,0,0,0,33957.5,,,,,
9901MD,0,0,0,33957.5,,,,,
9901VA,0,0,0,33957.5,,,,,
9902VA,0,0,0,33957.5,,,,,
9903PA,13,10,5,89925.43,,,,,
9903WV,0,0,2,54255.09,,,,,
9905VA,0,0,0,33957.5,,,,,
9908PA,0,0,0,0,,,,,
9912MD,0,0,7.5,110073.46,,,,,
9917MD,0,0,0,33957.5,,,,,
9930VA,0,0,1.5,49180.69,,,,,
9934MD,0,0,0,33957.5,,,,,
9934VA,0,0,0.5,39031.89,,,,,
9935VA,0,0,0,33957.5,,,,,
9936VA,0,0,0.5,39031.89,,,,,
9937VA,0,0,0.5,39031.89,,,,,
9938VA,0,0,0,33957.5,,,,,
9939VA,0,0,0,33957.5,,,,,
9999CA,0,0,0,33957.5,,,,,
9999FL,0,0,0,33957.5,,,,,
9999GU,0,0,0,33957.5,,,,,
9999IL,0,0,0,33957.5,,,,,
9999LA,0,0,0,33957.5,,,,,
9999MA,0,0,0,33957.5,,,,,
9999MO,0,0,0,33957.5,,,,,
9999NC,0,0,0,33957.5,,,,,
9999NH,0,0,0,33957.5,,,,,
9999OK,0,0,0,33957.5,,,,,
9999PR,0,0,0,33957.5,,,,,
9999SA,0,0,0,33957.5,,,,,
9999TN,0,0,0,33957.5,,,,,
9999TX,0,0,0,33957.5,,,,,
9999VI,0,0,0,33957.5,,,,,
9999VT,0,0,0,33957.5,,,,,
9999WA,0,0,0,33957.5,,,,,
AK0001,97.4,95.8,5.4,137811.79,,,,,
AK0005,3.6,1.8,0,34943.99,,,,,
AK0009,0,0,0,33957.5,,,,,
AK0013,39.4,31,5.6,106952.01,,,,,
AK0029,30.6,29.8,3.8,87791.96,,,,,
AK0031,318.8,303,15.8,349841.88,,,,,
AK0032,141.6,137,6.2,167110.48,,,,,
AK0034,0,0,0,33957.5,,,,,
AK0036,0,0,0,33957.5,,,,,
AK0037,0,0,0,33957.5,,,,,
AK0038,0,0,0,33957.5,,,,,
AK0040,0,0,0,33957.5,,,,,
AK0506,0,0,0,33957.49,,,,,
AK0507,0,0,0,33957.5,,,,,
AK0508,0,0,0,33957.5,,,,,
AK0513,0,0,0,33957.49,,,,,
AK0514,0,0,0,33957.5,,,,,
AK0521,0,0,0,33957.5,,,,,
AK0523,0,0,0,33957.5,,,,,
AK0525,0,0,0,33957.5,,,,,
AK0526,0.8,0.2,0,34081.77,,,,,
AK3139,0.2,0.2,0,34059.78,,,,,
AK3166,10,8.4,0,38311.91,,,,,
AK3177,38.8,36.2,0.6,58654.76,,,,,
AK3180,46,43,3.2,88533.81,,,,,
AK3219,0,0,0,33957.5,,,,,
AK3227,0,0,0,33957.5,,,,,
AK3228,0,0,0,33957.5,,,,,
AK3237,24.2,23.2,1.6,62096.71,,,,,
AK3239,0.2,0.2,0,34059.78,,,,,
AK3244,0,0,0,33957.5,,,,,
AK3251,0,0,0,33957.5,,,,,
AK3256,0,0,0,33957.5,,,,,
AK3263,28.2,26.8,2,68011.93,,,,,
AK3264,0,0,0,33957.5,,,,,
AK3276,0.2,0.2,0.2,36089.54,,,,,
AK3279,0.4,0.2,0,34067.11,,,,,
AK3282,0.8,0.4,0,34176.72,,,,,
AK3283,0.6,0.4,0,34169.39,,,,,
AK3300,0,0,0,33957.5,,,,,
AK3303,29.4,28.8,2.4,73064.93,,,,,
AK3305,0.2,0.2,0,34059.78,,,,,
AK3306,0,0,0,33957.5,,,,,
AK3308,0,0,0,33957.5,,,,,
AK3309,0,0,0,33957.5,,,,,
AK3317,1.8,1.4,0,34688.12,,,,,
AK3331,0,0,0,33957.5,,,,,
AK3332,0.2,0,0,33964.83,,,,,
AK3335,0.6,0.6,0.2,36294.1,,,,,
AK3338,0.4,0.2,0,34067.11,,,,,
AK3341,2.4,1.6,0,34805.06,,,,,
AK3342,0,0,0,33957.5,,,,,
AK3344,0,0,0,33957.5,,,,,
AK3346,1.4,1.2,0,34578.51,,,,,
AK3360,7,6.4,0,37252.45,,,,,
AK3365,0,0,0,33957.5,,,,,
AK3371,0,0,0,33957.5,,,,,
AK3373,16.6,13,0,40737.64,,,,,
AK3375,9.2,8.4,0,38282.58,,,,,
AK3377,0,0,0,33957.5,,,,,
AK3378,0,0,0,33957.5,,,,,
AK3379,0.2,0.2,0,34059.78,,,,,
AK3380,0,0,0,33957.5,,,,,
AK3381,0,0,0,33957.5,,,,,
AK3383,0,0,0.4,38017.01,,,,,
AK3385,0,0,0,33957.5,,,,,
AK3386,0,0,0,33957.5,,,,,
AK3387,0,0,0,33957.5,,,,,
AK3389,0,0,0,33957.5,,,,,
AK3391,0,0,0,33957.5,,,,,
AK3394,0,0,0,33957.5,,,,,
AK3395,0,0,0,33957.5,,,,,
AK3406,0,0,0,33957.5,,,,,
AK3408,0.2,0.2,0,34059.78,,,,,
AK3410,0,0,0,33957.5,,,,,
AK3414,9.4,9.2,0,38669.71,,,,,
AK3416,0.4,0.4,0,34162.06,,,,,
AK3420,0,0,0,33957.5,,,,,
AK3428,3.4,3.4,0,35696.26,,,,,
AK3429,16,15.4,0,41855.05,,,,,
AK3431,1.8,1.2,0,34593.17,,,,,
AK3442,0,0,0,33957.5,,,,,
AK3450,0,0,0,33957.5,,,,,
AK3455,0.4,0.4,0,34162.06,,,,,
AK3456,0,0,0,33957.49,,,,,
AK3458,0,0,0,33957.5,,,,,
AK3461,0,0,0,33957.5,,,,,
AK3463,0,0,0,33957.5,,,,,
AK3464,0,0,0,33957.5,,,,,
AK3466,16,15,0,41665.15,,,,,
AK3468,0,0,0,33957.5,,,,,
AK3469,0.2,0.2,0,34059.78,,,,,
AK3470,0,0,0,33957.5,,,,,
AK3472,0,0,0,33957.5,,,,,
AK3473,13,11,1.8,57924.03,,,,,
AK3475,0,0,0,33957.5,,,,,
AK3481,39,37,0,52952.61,,,,,
AK3484,0,0,0,33957.5,,,,,
AK3487,0,0,0,33957.5,,,,,
AK3492,0,0,0,33957.5,,,,,
AK3493,0.6,0.2,0,34074.44,,,,,
AK3494,0,0,0,33957.5,,,,,
AK3496,0,0,0,33957.5,,,,,
AK3498,0,0,0,33957.5,,,,,
AK3500,0,0,0,33957.5,,,,,
AL0003,30.6,19,2.6,70486.11,,,,,
AL0004,3,2.4,0,35206.85,,,,,
AL0005,0,0,0,33957.5,,,,,
AL0007,3,2.5,0,35254.33,,,,,
AL0010,6,3.8,1.2,48159.98,,,,,
AL0011,11,9.8,0,39013.21,,,,,
AL0019,6.4,1.2,1.4,48970.07,,,,,
AL0020,0,0,0,33957.5,,,,,
AL0022,0,0,0,33957.5,,,,,
AL0024,0,0,0,33957.5,,,,,
AL0026,0.2,0.2,0,34059.78,,,,,
AL0034,0.2,0.2,0,34059.78,,,,,
AL0039,7.8,6.6,0,37376.73,,,,,
AL0043,1.2,0.2,0,34096.43,,,,,
AL0046,3.6,0.8,1.6,50707.31,,,,,
AL0055,1.2,0.4,1.2,46369.93,,,,,
AL0073,0,0,0,33957.51,,,,,
AL0076,17,7.8,4.8,86997.82,,,,,
AL0077,1.2,1,0,34476.23,,,,,
AL0081,0.8,0.8,0,34366.61,,,,,
AL1007,3,1.4,0.8,42851.13,,,,,
AL1009,0,0,0,33957.5,,,,,
AL1040,3.2,2.8,0,35404.08,,,,,
AL1108,0,0,0,33957.5,,,,,
AL1119,7.25,4.5,3.75,74417.57,,,,,
AL1133,0.2,0,0,33964.83,,,,,
AL1134,6.67,4,0.33,39483.76,,,,,
AL1150,0,0,0,33957.5,,,,,
AL1174,3.33,2,1,45177.96,,,,,
AL1203,0,0,0,33957.5,,,,,
AL1204,4.5,2,2.5,60443.91,,,,,
AL1213,6,6,1,47174.7,,,,,
AL1238,27,25,0,46815.81,,,,,
AL1240,0,0,0,33957.5,,,,,
AL1241,0,0,0,33957.5,,,,,
AL1262,2,1.5,0,34742.92,,,,,
AL1281,0,0,0,0,,,,,
AL1296,0,0,2,54255.09,,,,,
AL1332,1,0,0,33994.15,,,,,
AL1342,1.5,1,4,75082.4,,,,,
AL1344,1.5,0.5,0,34249.85,,,,,
AL1376,0,0,0,33957.5,,,,,
AL1396,0,0,4,74552.68,,,,,
AL2010,0,0,0,33957.5,,,,,
AL2012,1,1,0,34468.89,,,,,
AL2016,0,0,1,44106.29,,,,,
AL2019,0,0,0,33957.5,,,,,
AL2024,5,1.6,0.8,43019.39,,,,,
AL2030,0,0,0,33957.5,,,,,
AL2036,6.4,5.4,1.4,50964.02,,,,,
AL2042,2.4,1.8,0,34900.01,,,,,
AL2044,3,1.8,0,34922,,,,,
AL2048,0.2,0.2,0,34059.78,,,,,
AL2056,6,2.6,1,45560.54,,,,,
AL2057,0,0,0,33957.5,,,,,
AL2062,4.4,2.4,1,45406.95,,,,,
